"COUNTRY","Country","POLLUTANT","Pollutant","ACTIVITY","Activity - NACE 2","MEASURE","Measure","EMISSION","Emissions","YEA","Year","Value","Flag Codes","Flags"
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2014","2014",155953300,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2015","2015",160410270,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2016","2016",162949570,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2017","2017",169931420,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2018","2018",169304220,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2019","2019",167115090,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2007","2007",3517570,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2008","2008",3178320,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2009","2009",3224680,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2010","2010",3505640,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2011","2011",3969700,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2012","2012",3689490,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2013","2013",3348760,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2014","2014",3362540,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2015","2015",3552560,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2016","2016",3559570,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2017","2017",3647910,,
